condition,county,year,month,n
Campylobacteriosis,gem,2023,1,1
Campylobacteriosis,gem,2023,4,1
Campylobacteriosis,owyhee,2017,1,1
Campylobacteriosis,owyhee,2017,5,1
Campylobacteriosis,owyhee,2017,6,1
Campylobacteriosis,owyhee,2017,7,1
Campylobacteriosis,owyhee,2017,8,1
Campylobacteriosis,owyhee,2017,9,1
Campylobacteriosis,owyhee,2017,12,1
Campylobacteriosis,owyhee,2018,6,1
Campylobacteriosis,owyhee,2018,10,4
Campylobacteriosis,owyhee,2018,12,1
Campylobacteriosis,owyhee,2019,3,2
Campylobacteriosis,owyhee,2019,5,1
Campylobacteriosis,owyhee,2019,6,1
Campylobacteriosis,owyhee,2019,7,1
Campylobacteriosis,owyhee,2019,8,1
Campylobacteriosis,owyhee,2020,9,1
Campylobacteriosis,owyhee,2020,10,1
Campylobacteriosis,owyhee,2020,12,1
Campylobacteriosis,owyhee,2021,3,1
Campylobacteriosis,owyhee,2021,4,1
Campylobacteriosis,owyhee,2021,5,1
Campylobacteriosis,owyhee,2021,6,3
Campylobacteriosis,owyhee,2021,7,1
Campylobacteriosis,owyhee,2021,9,2
Campylobacteriosis,owyhee,2022,5,4
Campylobacteriosis,owyhee,2022,6,3
Campylobacteriosis,owyhee,2022,8,1
Campylobacteriosis,owyhee,2022,10,2
Campylobacteriosis,owyhee,2022,11,2
Campylobacteriosis,owyhee,2023,1,1
Campylobacteriosis,owyhee,2023,3,2
Campylobacteriosis,owyhee,2023,4,1
Campylobacteriosis,owyhee,2023,6,1
Campylobacteriosis,payette,2017,4,2
Campylobacteriosis,payette,2017,6,3
Campylobacteriosis,payette,2017,7,1
Campylobacteriosis,payette,2017,9,1
Campylobacteriosis,payette,2018,3,1
Campylobacteriosis,payette,2018,4,1
Campylobacteriosis,payette,2018,5,1
Campylobacteriosis,payette,2018,6,4
Campylobacteriosis,payette,2018,8,2
Campylobacteriosis,payette,2018,9,2
Campylobacteriosis,payette,2018,10,1
Campylobacteriosis,payette,2018,11,1
Campylobacteriosis,payette,2018,12,1
Campylobacteriosis,payette,2019,1,1
Campylobacteriosis,payette,2019,4,2
Campylobacteriosis,payette,2019,5,2
Campylobacteriosis,payette,2019,8,3
Campylobacteriosis,payette,2019,9,1
Campylobacteriosis,payette,2019,10,2
Campylobacteriosis,payette,2020,6,3
Campylobacteriosis,payette,2020,7,1
Campylobacteriosis,payette,2020,10,1
Campylobacteriosis,payette,2020,11,1
Campylobacteriosis,payette,2021,1,1
Campylobacteriosis,payette,2021,5,6
Campylobacteriosis,payette,2021,6,2
Campylobacteriosis,payette,2021,8,1
Campylobacteriosis,payette,2021,10,2
Campylobacteriosis,payette,2022,5,1
Campylobacteriosis,payette,2022,6,2
Campylobacteriosis,payette,2022,8,1
Campylobacteriosis,payette,2022,9,4
Campylobacteriosis,payette,2022,10,1
Campylobacteriosis,payette,2022,12,1
Campylobacteriosis,washington,2017,2,1
Campylobacteriosis,washington,2017,4,1
Campylobacteriosis,washington,2017,5,1
Campylobacteriosis,washington,2017,6,2
Campylobacteriosis,washington,2019,2,2
Campylobacteriosis,washington,2019,4,1
Campylobacteriosis,washington,2019,5,2
Campylobacteriosis,washington,2019,6,2
Campylobacteriosis,washington,2019,11,1
Campylobacteriosis,washington,2020,6,1
Campylobacteriosis,washington,2020,7,1
Campylobacteriosis,washington,2020,10,1
Campylobacteriosis,washington,2021,4,1
Campylobacteriosis,washington,2021,9,1
Campylobacteriosis,washington,2022,3,1
Campylobacteriosis,washington,2022,6,1
Campylobacteriosis,washington,2022,11,1
Campylobacteriosis,washington,2023,5,1
Chlamydia trachomatis infection,adams,2017,4,2
Chlamydia trachomatis infection,adams,2017,6,1
Chlamydia trachomatis infection,adams,2018,2,1
Chlamydia trachomatis infection,adams,2018,7,1
Chlamydia trachomatis infection,adams,2018,8,1
Chlamydia trachomatis infection,adams,2018,10,2
Chlamydia trachomatis infection,adams,2018,11,2
Chlamydia trachomatis infection,adams,2018,12,1
Chlamydia trachomatis infection,adams,2019,3,1
Chlamydia trachomatis infection,adams,2019,9,1
Chlamydia trachomatis infection,adams,2019,10,1
Chlamydia trachomatis infection,adams,2020,1,2
Chlamydia trachomatis infection,adams,2020,9,1
Chlamydia trachomatis infection,adams,2020,10,1
Chlamydia trachomatis infection,adams,2021,2,1
Chlamydia trachomatis infection,adams,2021,3,1
Chlamydia trachomatis infection,adams,2021,5,1
Chlamydia trachomatis infection,adams,2021,6,1
Chlamydia trachomatis infection,adams,2021,8,2
Chlamydia trachomatis infection,adams,2021,10,1
Chlamydia trachomatis infection,adams,2021,11,1
Chlamydia trachomatis infection,adams,2022,1,1
Chlamydia trachomatis infection,adams,2022,5,2
Chlamydia trachomatis infection,adams,2022,10,2
Chlamydia trachomatis infection,adams,2022,11,3
Chlamydia trachomatis infection,adams,2023,2,1
Chlamydia trachomatis infection,adams,2023,3,5
Chlamydia trachomatis infection,adams,2023,5,1
Chlamydia trachomatis infection,canyon,2017,1,51
Chlamydia trachomatis infection,canyon,2017,2,107
Chlamydia trachomatis infection,canyon,2017,3,65
Chlamydia trachomatis infection,canyon,2017,4,65
Chlamydia trachomatis infection,canyon,2017,5,75
Chlamydia trachomatis infection,canyon,2017,6,83
Chlamydia trachomatis infection,canyon,2017,7,64
Chlamydia trachomatis infection,canyon,2017,8,101
Chlamydia trachomatis infection,canyon,2017,9,91
Chlamydia trachomatis infection,canyon,2017,10,89
Chlamydia trachomatis infection,canyon,2017,11,88
Chlamydia trachomatis infection,canyon,2017,12,95
Chlamydia trachomatis infection,canyon,2018,1,110
Chlamydia trachomatis infection,canyon,2018,2,114
Chlamydia trachomatis infection,canyon,2018,3,109
Chlamydia trachomatis infection,canyon,2018,4,102
Chlamydia trachomatis infection,canyon,2018,5,109
Chlamydia trachomatis infection,canyon,2018,6,97
Chlamydia trachomatis infection,canyon,2018,7,80
Chlamydia trachomatis infection,canyon,2018,8,89
Chlamydia trachomatis infection,canyon,2018,9,83
Chlamydia trachomatis infection,canyon,2018,10,108
Chlamydia trachomatis infection,canyon,2018,11,93
Chlamydia trachomatis infection,canyon,2018,12,40
Chlamydia trachomatis infection,canyon,2019,1,178
Chlamydia trachomatis infection,canyon,2019,2,109
Chlamydia trachomatis infection,canyon,2019,3,121
Chlamydia trachomatis infection,canyon,2019,4,88
Chlamydia trachomatis infection,canyon,2019,5,118
Chlamydia trachomatis infection,canyon,2019,6,96
Chlamydia trachomatis infection,canyon,2019,7,107
Chlamydia trachomatis infection,canyon,2019,8,116
Chlamydia trachomatis infection,canyon,2019,9,124
Chlamydia trachomatis infection,canyon,2019,10,114
Chlamydia trachomatis infection,canyon,2019,11,126
Chlamydia trachomatis infection,canyon,2019,12,94
Chlamydia trachomatis infection,canyon,2020,1,135
Chlamydia trachomatis infection,canyon,2020,2,101
Chlamydia trachomatis infection,canyon,2020,3,104
Chlamydia trachomatis infection,canyon,2020,4,99
Chlamydia trachomatis infection,canyon,2020,5,110
Chlamydia trachomatis infection,canyon,2020,6,81
Chlamydia trachomatis infection,canyon,2020,7,105
Chlamydia trachomatis infection,canyon,2020,8,114
Chlamydia trachomatis infection,canyon,2020,9,102
Chlamydia trachomatis infection,canyon,2020,10,85
Chlamydia trachomatis infection,canyon,2020,11,77
Chlamydia trachomatis infection,canyon,2020,12,86
Chlamydia trachomatis infection,canyon,2021,1,84
Chlamydia trachomatis infection,canyon,2021,2,98
Chlamydia trachomatis infection,canyon,2021,3,104
Chlamydia trachomatis infection,canyon,2021,4,86
Chlamydia trachomatis infection,canyon,2021,5,82
Chlamydia trachomatis infection,canyon,2021,6,89
Chlamydia trachomatis infection,canyon,2021,7,85
Chlamydia trachomatis infection,canyon,2021,8,74
Chlamydia trachomatis infection,canyon,2021,9,67
Chlamydia trachomatis infection,canyon,2021,10,70
Chlamydia trachomatis infection,canyon,2021,11,95
Chlamydia trachomatis infection,canyon,2021,12,96
Chlamydia trachomatis infection,canyon,2022,1,31
Chlamydia trachomatis infection,canyon,2022,2,28
Chlamydia trachomatis infection,canyon,2022,3,7
Chlamydia trachomatis infection,canyon,2022,4,231
Chlamydia trachomatis infection,canyon,2022,5,38
Chlamydia trachomatis infection,canyon,2022,6,28
Chlamydia trachomatis infection,canyon,2022,7,72
Chlamydia trachomatis infection,canyon,2022,8,31
Chlamydia trachomatis infection,canyon,2022,9,12
Chlamydia trachomatis infection,canyon,2022,10,52
Chlamydia trachomatis infection,canyon,2022,11,297
Chlamydia trachomatis infection,canyon,2022,12,131
Chlamydia trachomatis infection,canyon,2023,1,21
Chlamydia trachomatis infection,canyon,2023,2,26
Chlamydia trachomatis infection,canyon,2023,3,208
Chlamydia trachomatis infection,canyon,2023,4,47
Chlamydia trachomatis infection,canyon,2023,5,76
Chlamydia trachomatis infection,canyon,2023,6,36
Chlamydia trachomatis infection,gem,2017,1,4
Chlamydia trachomatis infection,gem,2017,2,6
Chlamydia trachomatis infection,gem,2017,3,4
Chlamydia trachomatis infection,gem,2017,4,3
Chlamydia trachomatis infection,gem,2017,5,2
Chlamydia trachomatis infection,gem,2017,6,3
Chlamydia trachomatis infection,gem,2017,7,6
Chlamydia trachomatis infection,gem,2017,8,5
Chlamydia trachomatis infection,gem,2017,9,5
Chlamydia trachomatis infection,gem,2017,10,3
Chlamydia trachomatis infection,gem,2017,11,4
Chlamydia trachomatis infection,gem,2017,12,6
Chlamydia trachomatis infection,gem,2018,1,3
Chlamydia trachomatis infection,gem,2018,2,5
Chlamydia trachomatis infection,gem,2018,3,6
Chlamydia trachomatis infection,gem,2018,4,5
Chlamydia trachomatis infection,gem,2018,5,5
Chlamydia trachomatis infection,gem,2018,6,3
Chlamydia trachomatis infection,gem,2018,7,2
Chlamydia trachomatis infection,gem,2018,8,5
Chlamydia trachomatis infection,gem,2018,9,4
Chlamydia trachomatis infection,gem,2018,10,2
Chlamydia trachomatis infection,gem,2018,11,3
Chlamydia trachomatis infection,gem,2018,12,2
Chlamydia trachomatis infection,gem,2019,1,10
Chlamydia trachomatis infection,gem,2019,2,4
Chlamydia trachomatis infection,gem,2019,3,6
Chlamydia trachomatis infection,gem,2019,4,3
Chlamydia trachomatis infection,gem,2019,5,5
Chlamydia trachomatis infection,gem,2019,6,4
Chlamydia trachomatis infection,gem,2019,7,2
Chlamydia trachomatis infection,gem,2019,8,11
Chlamydia trachomatis infection,gem,2019,9,4
Chlamydia trachomatis infection,gem,2019,10,10
Chlamydia trachomatis infection,gem,2019,11,3
Chlamydia trachomatis infection,gem,2019,12,7
Chlamydia trachomatis infection,gem,2020,1,3
Chlamydia trachomatis infection,gem,2020,2,3
Chlamydia trachomatis infection,gem,2020,3,3
Chlamydia trachomatis infection,gem,2020,4,2
Chlamydia trachomatis infection,gem,2020,5,4
Chlamydia trachomatis infection,gem,2020,6,5
Chlamydia trachomatis infection,gem,2020,7,5
Chlamydia trachomatis infection,gem,2020,8,4
Chlamydia trachomatis infection,gem,2020,9,4
Chlamydia trachomatis infection,gem,2020,10,3
Chlamydia trachomatis infection,gem,2020,11,8
Chlamydia trachomatis infection,gem,2020,12,3
Chlamydia trachomatis infection,gem,2021,1,5
Chlamydia trachomatis infection,gem,2021,2,3
Chlamydia trachomatis infection,gem,2021,3,4
Chlamydia trachomatis infection,gem,2021,4,3
Chlamydia trachomatis infection,gem,2021,5,2
Chlamydia trachomatis infection,gem,2021,6,2
Chlamydia trachomatis infection,gem,2021,7,5
Chlamydia trachomatis infection,gem,2021,8,6
Chlamydia trachomatis infection,gem,2021,9,4
Chlamydia trachomatis infection,gem,2021,12,2
Chlamydia trachomatis infection,gem,2022,1,1
Chlamydia trachomatis infection,gem,2022,4,4
Chlamydia trachomatis infection,gem,2022,7,2
Chlamydia trachomatis infection,gem,2022,8,1
Chlamydia trachomatis infection,gem,2022,10,1
Chlamydia trachomatis infection,gem,2022,11,6
Chlamydia trachomatis infection,gem,2022,12,5
Chlamydia trachomatis infection,gem,2023,1,2
Chlamydia trachomatis infection,gem,2023,2,1
Chlamydia trachomatis infection,gem,2023,3,8
Chlamydia trachomatis infection,gem,2023,4,1
Chlamydia trachomatis infection,gem,2023,5,3
Chlamydia trachomatis infection,gem,2023,6,2
Chlamydia trachomatis infection,owyhee,2017,1,4
Chlamydia trachomatis infection,owyhee,2017,2,4
Chlamydia trachomatis infection,owyhee,2017,3,3
Chlamydia trachomatis infection,owyhee,2017,4,1
Chlamydia trachomatis infection,owyhee,2017,5,1
Chlamydia trachomatis infection,owyhee,2017,7,4
Chlamydia trachomatis infection,owyhee,2017,8,3
Chlamydia trachomatis infection,owyhee,2017,9,1
Chlamydia trachomatis infection,owyhee,2017,10,5
Chlamydia trachomatis infection,owyhee,2017,11,2
Chlamydia trachomatis infection,owyhee,2017,12,2
Chlamydia trachomatis infection,owyhee,2018,1,5
Chlamydia trachomatis infection,owyhee,2018,2,6
Chlamydia trachomatis infection,owyhee,2018,3,5
Chlamydia trachomatis infection,owyhee,2018,4,3
Chlamydia trachomatis infection,owyhee,2018,5,13
Chlamydia trachomatis infection,owyhee,2018,6,5
Chlamydia trachomatis infection,owyhee,2018,7,3
Chlamydia trachomatis infection,owyhee,2018,8,3
Chlamydia trachomatis infection,owyhee,2018,9,3
Chlamydia trachomatis infection,owyhee,2018,10,7
Chlamydia trachomatis infection,owyhee,2018,11,2
Chlamydia trachomatis infection,owyhee,2018,12,1
Chlamydia trachomatis infection,owyhee,2019,1,4
Chlamydia trachomatis infection,owyhee,2019,2,5
Chlamydia trachomatis infection,owyhee,2019,3,3
Chlamydia trachomatis infection,owyhee,2019,4,6
Chlamydia trachomatis infection,owyhee,2019,5,6
Chlamydia trachomatis infection,owyhee,2019,6,5
Chlamydia trachomatis infection,owyhee,2019,7,6
Chlamydia trachomatis infection,owyhee,2019,8,4
Chlamydia trachomatis infection,owyhee,2019,9,4
Chlamydia trachomatis infection,owyhee,2019,10,6
Chlamydia trachomatis infection,owyhee,2019,11,2
Chlamydia trachomatis infection,owyhee,2019,12,5
Chlamydia trachomatis infection,owyhee,2020,1,7
Chlamydia trachomatis infection,owyhee,2020,2,2
Chlamydia trachomatis infection,owyhee,2020,3,10
Chlamydia trachomatis infection,owyhee,2020,4,2
Chlamydia trachomatis infection,owyhee,2020,5,3
Chlamydia trachomatis infection,owyhee,2020,6,5
Chlamydia trachomatis infection,owyhee,2020,7,5
Chlamydia trachomatis infection,owyhee,2020,8,3
Chlamydia trachomatis infection,owyhee,2020,9,5
Chlamydia trachomatis infection,owyhee,2020,10,2
Chlamydia trachomatis infection,owyhee,2020,11,5
Chlamydia trachomatis infection,owyhee,2020,12,1
Chlamydia trachomatis infection,owyhee,2021,5,5
Chlamydia trachomatis infection,owyhee,2021,7,5
Chlamydia trachomatis infection,owyhee,2021,8,3
Chlamydia trachomatis infection,owyhee,2021,9,5
Chlamydia trachomatis infection,owyhee,2021,10,1
Chlamydia trachomatis infection,owyhee,2021,11,3
Chlamydia trachomatis infection,owyhee,2021,12,3
Chlamydia trachomatis infection,owyhee,2022,1,2
Chlamydia trachomatis infection,owyhee,2022,4,7
Chlamydia trachomatis infection,owyhee,2022,5,1
Chlamydia trachomatis infection,owyhee,2022,6,1
Chlamydia trachomatis infection,owyhee,2022,7,2
Chlamydia trachomatis infection,owyhee,2022,10,2
Chlamydia trachomatis infection,owyhee,2022,11,7
Chlamydia trachomatis infection,owyhee,2022,12,3
Chlamydia trachomatis infection,owyhee,2023,1,1
Chlamydia trachomatis infection,owyhee,2023,3,2
Chlamydia trachomatis infection,owyhee,2023,4,2
Chlamydia trachomatis infection,owyhee,2023,5,2
Chlamydia trachomatis infection,payette,2017,1,2
Chlamydia trachomatis infection,payette,2017,2,20
Chlamydia trachomatis infection,payette,2017,3,10
Chlamydia trachomatis infection,payette,2017,4,5
Chlamydia trachomatis infection,payette,2017,5,5
Chlamydia trachomatis infection,payette,2017,6,6
Chlamydia trachomatis infection,payette,2017,7,4
Chlamydia trachomatis infection,payette,2017,8,9
Chlamydia trachomatis infection,payette,2017,9,4
Chlamydia trachomatis infection,payette,2017,10,13
Chlamydia trachomatis infection,payette,2017,11,8
Chlamydia trachomatis infection,payette,2017,12,5
Chlamydia trachomatis infection,payette,2018,1,11
Chlamydia trachomatis infection,payette,2018,2,12
Chlamydia trachomatis infection,payette,2018,3,6
Chlamydia trachomatis infection,payette,2018,4,3
Chlamydia trachomatis infection,payette,2018,5,9
Chlamydia trachomatis infection,payette,2018,6,6
Chlamydia trachomatis infection,payette,2018,7,13
Chlamydia trachomatis infection,payette,2018,8,12
Chlamydia trachomatis infection,payette,2018,9,8
Chlamydia trachomatis infection,payette,2018,10,6
Chlamydia trachomatis infection,payette,2018,11,2
Chlamydia trachomatis infection,payette,2018,12,3
Chlamydia trachomatis infection,payette,2019,1,7
Chlamydia trachomatis infection,payette,2019,2,4
Chlamydia trachomatis infection,payette,2019,3,3
Chlamydia trachomatis infection,payette,2019,4,7
Chlamydia trachomatis infection,payette,2019,5,7
Chlamydia trachomatis infection,payette,2019,6,10
Chlamydia trachomatis infection,payette,2019,7,6
Chlamydia trachomatis infection,payette,2019,8,10
Chlamydia trachomatis infection,payette,2019,9,8
Chlamydia trachomatis infection,payette,2019,10,10
Chlamydia trachomatis infection,payette,2019,11,6
Chlamydia trachomatis infection,payette,2019,12,4
Chlamydia trachomatis infection,payette,2020,1,10
Chlamydia trachomatis infection,payette,2020,2,8
Chlamydia trachomatis infection,payette,2020,3,7
Chlamydia trachomatis infection,payette,2020,4,9
Chlamydia trachomatis infection,payette,2020,5,6
Chlamydia trachomatis infection,payette,2020,6,4
Chlamydia trachomatis infection,payette,2020,7,11
Chlamydia trachomatis infection,payette,2020,8,5
Chlamydia trachomatis infection,payette,2020,9,5
Chlamydia trachomatis infection,payette,2020,10,4
Chlamydia trachomatis infection,payette,2020,11,3
Chlamydia trachomatis infection,payette,2020,12,6
Chlamydia trachomatis infection,payette,2021,1,4
Chlamydia trachomatis infection,payette,2021,2,4
Chlamydia trachomatis infection,payette,2021,3,2
Chlamydia trachomatis infection,payette,2021,4,5
Chlamydia trachomatis infection,payette,2021,5,3
Chlamydia trachomatis infection,payette,2021,6,7
Chlamydia trachomatis infection,payette,2021,7,2
Chlamydia trachomatis infection,payette,2021,8,1
Chlamydia trachomatis infection,payette,2021,9,4
Chlamydia trachomatis infection,payette,2021,10,4
Chlamydia trachomatis infection,payette,2021,11,3
Chlamydia trachomatis infection,payette,2021,12,5
Chlamydia trachomatis infection,payette,2022,1,1
Chlamydia trachomatis infection,payette,2022,4,17
Chlamydia trachomatis infection,payette,2022,6,2
Chlamydia trachomatis infection,payette,2022,7,5
Chlamydia trachomatis infection,payette,2022,9,2
Chlamydia trachomatis infection,payette,2022,10,3
Chlamydia trachomatis infection,payette,2022,11,15
Chlamydia trachomatis infection,payette,2022,12,8
Chlamydia trachomatis infection,payette,2023,1,1
Chlamydia trachomatis infection,payette,2023,2,2
Chlamydia trachomatis infection,payette,2023,3,8
Chlamydia trachomatis infection,payette,2023,4,3
Chlamydia trachomatis infection,payette,2023,5,4
Chlamydia trachomatis infection,payette,2023,6,3
Chlamydia trachomatis infection,washington,2017,1,1
Chlamydia trachomatis infection,washington,2017,2,1
Chlamydia trachomatis infection,washington,2017,3,3
Chlamydia trachomatis infection,washington,2017,4,1
Chlamydia trachomatis infection,washington,2017,5,1
Chlamydia trachomatis infection,washington,2017,6,1
Chlamydia trachomatis infection,washington,2017,7,2
Chlamydia trachomatis infection,washington,2017,8,4
Chlamydia trachomatis infection,washington,2017,9,7
Chlamydia trachomatis infection,washington,2017,10,3
Chlamydia trachomatis infection,washington,2017,11,1
Chlamydia trachomatis infection,washington,2018,2,3
Chlamydia trachomatis infection,washington,2018,3,5
Chlamydia trachomatis infection,washington,2018,4,3
Chlamydia trachomatis infection,washington,2018,5,4
Chlamydia trachomatis infection,washington,2018,6,1
Chlamydia trachomatis infection,washington,2018,7,4
Chlamydia trachomatis infection,washington,2018,8,1
Chlamydia trachomatis infection,washington,2018,9,4
Chlamydia trachomatis infection,washington,2018,10,2
Chlamydia trachomatis infection,washington,2018,11,5
Chlamydia trachomatis infection,washington,2018,12,2
Chlamydia trachomatis infection,washington,2019,1,2
Chlamydia trachomatis infection,washington,2019,2,3
Chlamydia trachomatis infection,washington,2019,3,1
Chlamydia trachomatis infection,washington,2019,4,1
Chlamydia trachomatis infection,washington,2019,8,5
Chlamydia trachomatis infection,washington,2019,10,4
Chlamydia trachomatis infection,washington,2019,12,3
Chlamydia trachomatis infection,washington,2020,1,2
Chlamydia trachomatis infection,washington,2020,2,6
Chlamydia trachomatis infection,washington,2020,3,3
Chlamydia trachomatis infection,washington,2020,4,3
Chlamydia trachomatis infection,washington,2020,5,2
Chlamydia trachomatis infection,washington,2020,6,1
Chlamydia trachomatis infection,washington,2020,7,4
Chlamydia trachomatis infection,washington,2020,8,2
Chlamydia trachomatis infection,washington,2020,9,2
Chlamydia trachomatis infection,washington,2020,10,2
Chlamydia trachomatis infection,washington,2020,11,2
Chlamydia trachomatis infection,washington,2020,12,1
Chlamydia trachomatis infection,washington,2021,2,5
Chlamydia trachomatis infection,washington,2021,3,2
Chlamydia trachomatis infection,washington,2021,4,2
Chlamydia trachomatis infection,washington,2021,5,4
Chlamydia trachomatis infection,washington,2021,6,1
Chlamydia trachomatis infection,washington,2021,7,4
Chlamydia trachomatis infection,washington,2021,8,2
Chlamydia trachomatis infection,washington,2021,10,2
Chlamydia trachomatis infection,washington,2021,11,2
Chlamydia trachomatis infection,washington,2021,12,4
Chlamydia trachomatis infection,washington,2022,1,3
Chlamydia trachomatis infection,washington,2022,2,1
Chlamydia trachomatis infection,washington,2022,4,2
Chlamydia trachomatis infection,washington,2022,6,1
Chlamydia trachomatis infection,washington,2022,8,1
Chlamydia trachomatis infection,washington,2022,10,4
Chlamydia trachomatis infection,washington,2022,11,8
Chlamydia trachomatis infection,washington,2022,12,3
Chlamydia trachomatis infection,washington,2023,1,1
Chlamydia trachomatis infection,washington,2023,3,7
Chlamydia trachomatis infection,washington,2023,5,2
Chlamydia trachomatis infection,washington,2023,6,2
Cryptosporidiosis,adams,2019,11,1
Cryptosporidiosis,canyon,2017,1,2
Cryptosporidiosis,canyon,2017,7,1
Cryptosporidiosis,canyon,2017,9,3
Cryptosporidiosis,canyon,2017,10,3
Cryptosporidiosis,canyon,2018,2,2
Cryptosporidiosis,canyon,2018,3,1
Cryptosporidiosis,canyon,2018,5,1
Cryptosporidiosis,canyon,2018,6,1
Cryptosporidiosis,canyon,2018,7,3
Cryptosporidiosis,canyon,2018,9,4
